Date,DIA,IVV,IWM,QQQ,SPY,VTI
2018-02-20,229.40780639648438,252.98867797851562,144.54425048828125,160.67147827148438,252.43971252441406,129.61366271972656
2018-02-21,227.9081268310547,251.68408203125,144.6963653564453,160.21461486816406,251.18397521972656,129.00872802734375
2018-02-22,229.53662109375,252.0263214111328,144.46824645996094,160.19517517089844,251.5094757080078,129.09249877929688
2018-02-23,232.6830596923828,256.0514831542969,146.3501434326172,163.4709930419922,255.51840209960938,131.09339904785156
2018-02-26,236.3723907470703,259.0494689941406,147.31008911132812,165.638671875,258.4855651855469,132.4707794189453
2018-02-27,233.64910888671875,255.82940673828125,145.1905517578125,163.58763122558594,255.25799560546875,130.80490112304688
2018-02-28,230.18980407714844,252.92388916015625,142.90000915527344,162.53787231445312,252.67214965820312,129.36239624023438
2018-03-01,226.30728149414062,249.55584716796875,142.5198211669922,159.8840789794922,248.99815368652344,127.82679748535156
2018-03-02,225.72767639160156,250.94375610351562,144.80091857910156,161.35189819335938,250.28173828125,128.65505981445312
2018-03-05,228.93858337402344,253.71969604492188,146.09353637695312,163.14048767089844,253.1743927001953,130.10693359375
2018-03-06,228.93858337402344,254.4136962890625,147.67127990722656,163.8306427001953,253.81622314453125,130.58151245117188
2018-03-07,228.26698303222656,254.3211669921875,148.97335815429688,164.20973205566406,253.72328186035156,130.69322204589844
2018-03-08,229.21453857421875,255.5055694580078,148.66921997070312,165.11378479003906,254.95103454589844,131.18649291992188
2018-03-09,233.2811279296875,259.8452453613281,151.0453338623047,168.32156372070312,259.3878173828125,133.3642578125
2018-03-12,231.80908203125,259.63238525390625,151.3114776611328,169.21585083007812,259.062255859375,133.28977966308594
2018-03-13,230.20822143554688,257.9483337402344,150.608154296875,166.912109375,257.3880310058594,132.46148681640625
2018-03-14,228.0553436279297,256.62518310546875,149.89535522460938,166.88291931152344,256.0671691894531,131.7914581298828
2018-03-15,229.0857696533203,256.3568115234375,149.14443969726562,166.73709106445312,255.78811645507812,131.6145782470703
2018-03-16,229.596435546875,256.588134765625,149.9808807373047,166.24136352539062,256.0655517578125,131.83795166015625
2018-03-19,226.65621948242188,253.14601135253906,148.53616333007812,162.69442749023438,252.60084533691406,130.1441650390625
2018-03-20,227.75294494628906,253.59014892578125,148.49813842773438,163.2299041748047,253.03042602539062,130.33958435058594
2018-03-21,227.31053161621094,253.12753295898438,149.363037109375,162.5191650390625,252.54481506347656,130.2279052734375
2018-03-22,220.6190185546875,246.75030517578125,146.08786010742188,158.5077667236328,246.2318878173828,127.03771209716797
2018-03-23,216.72019958496094,241.5079803466797,142.94415283203125,154.3308868408203,240.98361206054688,124.3745346069336
