Date,ACES,ADIV,AMOM,AQWA,BMED,BTEC,CGW,CHIH,CLMA,CNRG,CTEX,DTOX,ERTH,ESMV,EUSC,EWJE,EWRE,FEDM,FRNW,FXH,GBLD,GXTG,HTEC,ICLN,IDHD,IDLV,IEIH,IHI,IMFL,JHMH,JPIN,KGRN,LVHI,MID,MXDU,NULG,PBE,PINK,PSCC,PTH,PUI,QCLN,RHS,RNRG,RODM,RYH,SDG,SHFT,SOLR,SPMV,STNC,TAN,UTRN,WNDY,WOOD,XBI,XHE,XLV
2018-03-01,,,,,,32.17530059814453,31.873140335083008,,,,,,36.66001892089844,,27.291250228881836,,22.67287826538086,,,69.4000015258789,,,,8.981179237365723,23.594467163085938,28.763803482055664,,30.479459762573242,,28.818403244018555,51.676631927490234,22.432443618774414,20.812299728393555,,24.768741607666016,28.460031509399414,49.18358612060547,,65.92356872558594,76.16999816894531,23.92523765563965,19.020870208740234,116.38668060302734,10.372612953186035,25.866201400756836,175.82177734375,55.08430480957031,,,23.971080780029297,,24.292823791503906,,,73.01930236816406,87.3294448852539,69.62716674804688,75.64352416992188
2018-04-01,,,,,,31.286039352416992,31.854434967041016,,,,,,36.199100494384766,,28.153217315673828,,22.839834213256836,,,69.37000274658203,,,,9.292503356933594,23.926488876342773,29.118324279785156,21.372467041015625,31.036142349243164,,29.285324096679688,52.54071807861328,22.561206817626953,21.39060401916504,,25.193326950073242,28.530454635620117,48.044429779052734,,67.01649475097656,77.9000015258789,24.766263961791992,18.679147720336914,113.36272430419922,10.45687198638916,26.074228286743164,175.0137176513672,54.94676208496094,,,24.341032028198242,,24.3521728515625,,,74.88323974609375,86.63722229003906,71.14471435546875,76.71127319335938
2018-05-01,,,,,,34.14924621582031,31.91990089416504,,,,,,37.283103942871094,,27.780502319335938,,23.382884979248047,,,72.77999877929688,,,,9.16042709350586,23.352697372436523,28.78763771057129,21.60525894165039,32.61292266845703,,29.502910614013672,51.878849029541016,22.294483184814453,21.051389694213867,,25.54088592529297,29.806888580322266,51.42192840576172,,71.49176788330078,87.23999786376953,25.140817642211914,19.644296646118164,110.41907501220703,10.439131736755371,25.75997543334961,176.5707244873047,54.97202682495117,,,24.52944564819336,,25.202816009521484,,,75.47037506103516,94.29691314697266,76.8055419921875,76.85115814208984
2018-06-01,,,,,,34.2578125,31.32135009765625,,,,,,35.95156478881836,,26.713043212890625,,24.283275604248047,,,74.22000122070312,,,,8.23589038848877,22.755172729492188,28.03922462463379,22.070850372314453,33.05942153930664,,29.948354721069336,50.1631965637207,19.765199661254883,20.8315372467041,,26.49244499206543,30.194215774536133,54.66952133178711,,75.39236450195312,87.55000305175781,25.31439208984375,19.00086212158203,115.3466796875,10.46484088897705,25.113759994506836,178.93077087402344,53.02578353881836,,,24.637109756469727,,22.84870719909668,,,72.80496215820312,94.81487274169922,78.09345245361328,77.830322265625
2018-07-01,24.44289207458496,,,,,34.0505485534668,32.93932342529297,,,,,,37.34175491333008,,27.930978775024414,,24.566131591796875,,,76.81999969482422,,,,8.712979316711426,23.679819107055664,29.167985916137695,23.3521728515625,34.33384704589844,,31.721723556518555,51.660125732421875,19.765199661254883,21.949493408203125,,26.934879302978516,30.854440689086914,57.417484283447266,,78.12467193603516,88.0,26.094650268554688,19.514240264892578,118.64860534667969,10.590600967407227,25.994997024536133,189.37261962890625,55.53422927856445,,,25.748348236083984,,22.49262237548828,,,71.14659118652344,94.97093200683594,80.61935424804688,83.23859405517578
2018-08-01,25.27412986755371,,,,,37.56417465209961,32.967376708984375,,,,,,38.045021057128906,,27.513559341430664,,25.248775482177734,,,82.9800033569336,,,,8.339977264404297,23.254650115966797,28.876569747924805,24.484289169311523,36.24283981323242,,32.94525146484375,50.99951171875,18.523550033569336,21.72327995300293,,27.983192443847656,32.67665481567383,59.9855842590332,,80.40472412109375,97.93000030517578,26.39850616455078,20.04218101501465,120.30035400390625,10.770255088806152,25.932334899902344,196.9989013671875,55.429866790771484,,,26.3974609375,,21.59252166748047,,,73.56582641601562,99.80467987060547,88.0772705078125,86.84219360351562
2018-09-01,24.782899856567383,,,,,36.5377197265625,32.621337890625,,,,,,37.34175491333008,,27.49540901184082,,24.273576736450195,,,84.87999725341797,,,,8.225208282470703,22.93723487854004,28.682289123535156,24.61547088623047,37.50066375732422,,33.8390007019043,51.42230224609375,18.35799789428711,21.750457763671875,,27.79344367980957,32.86151885986328,59.40601348876953,,78.74651336669922,98.76000213623047,26.343259811401367,19.26004981994629,119.0940170288086,10.895271301269531,25.923385620117188,202.01768493652344,55.30559158325195,,,26.577775955200195,,20.51437759399414,,,70.86418151855469,95.54898071289062,87.66793823242188,89.06053161621094
2018-10-01,23.37664222717285,,,,,30.990934371948242,30.15228843688965,,,,,,33.41374588012695,,25.55348777770996,,24.14922523498535,,,75.88999938964844,,,,7.756562232971191,22.16277503967285,27.362510681152344,22.3975772857666,33.848365783691406,,31.112770080566406,46.863033294677734,16.306978225708008,21.266597747802734,,25.137903213500977,29.815689086914062,51.21384811401367,,77.10227966308594,82.08999633789062,26.494287490844727,18.321136474609375,120.00458526611328,10.397674560546875,24.0704345703125,183.74427795410156,50.93412399291992,,,24.405298233032227,,18.288854598999023,15.976236343383789,,62.19442367553711,78.90438079833984,77.1128158569336,83.34695434570312
2018-11-01,24.3302001953125,,,,,31.671945571899414,31.4055233001709,,,29.736595153808594,,,34.88889694213867,,25.51719093322754,,25.222381591796875,,,78.19000244140625,,,,8.598211288452148,22.643476486206055,28.04813003540039,23.623361587524414,35.718666076660156,,32.99583435058594,47.25244140625,18.348800659179688,21.35791015625,,26.010560989379883,30.123794555664062,52.96261215209961,,75.7603759765625,83.37999725341797,28.180295944213867,19.153470993041992,121.22684478759766,10.560508728027344,24.410593032836914,193.63821411132812,53.277339935302734,,,25.383319854736328,,20.821006774902344,16.08835220336914,,59.76576614379883,81.43778991699219,77.82183837890625,90.0842514038086
2018-12-01,21.869245529174805,,,,,27.240440368652344,29.123519897460938,,,27.336336135864258,,,31.561241149902344,,23.974546432495117,,23.145877838134766,,,68.87000274658203,,,,7.900024890899658,21.68882179260254,26.570039749145508,21.232181549072266,32.9544563293457,,29.548234939575195,45.03983688354492,16.1147518157959,19.503334045410156,,23.29584312438965,26.488162994384766,47.03679656982422,,65.34651184082031,71.18000030517578,26.82777976989746,17.253795623779297,108.67778778076172,10.344047546386719,23.0947265625,174.25282287597656,50.279541015625,,,22.51263999938965,,18.348201751708984,14.911154747009277,,53.77883529663086,71.5634994506836,69.97274780273438,81.28913879394531
