Date,IVW,IWD,IWF,RSP,SCHD,USMV,VIG,VTV,VUG,VYM
2014-07-01,23.525503158569336,82.4688949584961,81.6191635131836,65.80158233642578,29.67888069152832,31.595808029174805,64.5784683227539,65.52220916748047,89.54786682128906,51.1454963684082
2014-08-01,24.524415969848633,85.91558837890625,85.6136703491211,68.56818389892578,30.69684600830078,32.85310745239258,66.93472290039062,67.7751235961914,93.6684341430664,53.06709289550781
2014-09-01,24.19597625732422,83.7811050415039,84.12632751464844,66.56568908691406,30.428543090820312,32.448368072509766,65.9322509765625,66.52167510986328,91.67253875732422,52.08668899536133
2014-10-01,24.954675674438477,85.95027923583984,86.52383422851562,68.81344604492188,31.229549407958984,33.97976303100586,68.0172119140625,68.1116714477539,94.71004486083984,53.7431526184082
2014-11-01,25.72974967956543,87.84251403808594,89.36929321289062,70.64659881591797,32.1588249206543,35.190853118896484,70.2043685913086,69.7926025390625,97.60689544677734,55.37004470825195
2014-12-01,25.36607551574707,87.80048370361328,88.04324340820312,70.54963684082031,31.650501251220703,35.01784896850586,69.88580322265625,69.61956024169922,96.30609130859375,54.295982360839844
2015-01-01,25.04640007019043,84.82942962646484,87.08372497558594,68.7746353149414,30.87607192993164,35.03028106689453,67.91563415527344,67.17233276367188,95.20596313476562,53.17268371582031
2015-02-01,26.543472290039062,88.87296295166016,92.8239974975586,72.71294403076172,32.491451263427734,36.30870056152344,71.70895385742188,70.7369613647461,101.15167236328125,55.776771545410156
2015-03-01,26.0048885345459,87.19802856445312,91.43743896484375,71.7305679321289,31.51582908630371,35.882564544677734,69.6910629272461,69.38571166992188,96.8822250366211,54.39112091064453
2015-04-01,26.22084617614746,88.403076171875,92.23384857177734,72.31124877929688,31.970630645751953,35.827449798583984,69.9342269897461,70.69065856933594,99.90791320800781,55.68510055541992
2015-05-01,26.685684204101562,89.49971771240234,93.44866943359375,72.83550262451172,32.13164520263672,36.19428253173828,70.60484313964844,71.52458190917969,101.3849105834961,55.893550872802734
2015-06-01,26.072006225585938,87.68896484375,91.81652069091797,70.90731048583984,30.827381134033203,35.21604919433594,68.436279296875,69.51486206054688,99.44344329833984,53.9694938659668
2015-07-01,27.126201629638672,87.48495483398438,94.61711120605469,71.86852264404297,31.286699295043945,36.80841827392578,70.30320739746094,70.63505554199219,102.97280883789062,54.98429870605469
2015-08-01,25.460397720336914,82.84319305419922,89.15043640136719,67.9437255859375,29.62337303161621,35.140892028808594,66.17854309082031,66.5076675415039,96.48985290527344,51.87259292602539
2015-09-01,24.768802642822266,79.85545349121094,86.54480743408203,65.6156005859375,29.16900634765625,34.745948791503906,64.57596588134766,64.38526153564453,93.41604614257812,50.635990142822266
2015-10-01,27.224384307861328,86.33106231689453,94.38046264648438,70.49513244628906,31.98833656311035,37.01283645629883,69.34124755859375,69.77775573730469,102.14020538330078,55.35845947265625
2015-11-01,27.270526885986328,86.71842956542969,94.6698989868164,70.71012878417969,32.07832336425781,36.93343734741211,69.52626037597656,70.15779113769531,102.28970336914062,55.48072052001953
2015-12-01,26.719072341918945,84.23929595947266,92.87732696533203,68.64990234375,31.54654312133789,36.88934326171875,68.50434112548828,68.84870910644531,99.42990112304688,54.40485382080078
2016-01-01,25.44580841064453,80.32630157470703,87.93599700927734,65.12162780761719,31.0480899810791,36.60494613647461,67.3451156616211,66.05450439453125,93.81526184082031,53.35673141479492
2016-02-01,25.25811195373535,80.32630157470703,87.93599700927734,65.7694091796875,31.278799057006836,36.98661422729492,68.10738372802734,66.12254333496094,93.43999481201172,53.6281623840332
2016-03-01,26.854705810546875,85.62997436523438,93.51224517822266,70.65486907958984,33.033912658691406,38.992618560791016,72.01619720458984,70.095703125,99.86634063720703,56.7866325378418
2016-04-01,26.63644027709961,87.97251892089844,92.99215698242188,71.90548706054688,33.22232437133789,39.03784942626953,72.14168548583984,71.6222915649414,99.37993621826172,57.600833892822266
2016-05-01,27.31561279296875,89.26304626464844,94.81700134277344,72.8822021484375,33.68719482421875,39.65324783325195,72.82764434814453,72.38442993164062,101.85478973388672,58.404300689697266
2016-06-01,27.115581512451172,90.01293182373047,94.40313720703125,72.66514587402344,34.401119232177734,41.21405029296875,74.15501403808594,72.77831268310547,100.87614440917969,59.19117736816406
2016-07-01,28.487411499023438,92.06205749511719,98.50434112548828,75.85456085205078,35.65711975097656,42.04280090332031,76.26847839355469,75.25748443603516,106.02311706542969,61.08005905151367
2016-08-01,28.389307022094727,93.33038330078125,98.3839111328125,75.97240447998047,35.53999328613281,41.217899322509766,76.2774429321289,75.765625,105.6927490234375,60.89634704589844
2016-09-01,28.41733169555664,92.65489959716797,98.37449645996094,75.77296447753906,35.397769927978516,40.73371124267578,75.17573547363281,74.93017578125,105.98535919189453,60.244956970214844
2016-10-01,27.915185928344727,91.72069549560547,96.3744125366211,74.19312286376953,35.04990005493164,39.824317932128906,74.07125854492188,74.58698272705078,103.58837127685547,59.874759674072266
2016-11-01,28.252666473388672,96.89563751220703,98.48682403564453,78.07791137695312,36.19438552856445,40.067691802978516,76.2760238647461,79.05961608886719,104.84795379638672,62.40529251098633
2016-12-01,28.54328155517578,98.76458740234375,99.36775207519531,78.82392883300781,36.66564178466797,40.76178741455078,76.65398406982422,80.61981964111328,105.57718658447266,63.69996643066406
2017-01-01,29.50004768371582,100.04375457763672,103.0447006225586,80.54177856445312,36.82108688354492,41.55982208251953,78.5270004272461,81.61835479736328,109.8111572265625,64.23120880126953
2017-02-01,30.700288772583008,103.54097747802734,107.24827575683594,83.066162109375,38.07789611816406,43.447662353515625,81.92426300048828,84.54357147216797,114.62567138671875,66.52943420410156
2017-03-01,30.952104568481445,102.02313232421875,108.22784423828125,82.76538848876953,37.85709762573242,43.3115234375,81.4803695678711,83.27745056152344,115.75794219970703,65.85098266601562
2017-04-01,31.667789459228516,102.34464263916016,110.95879364013672,83.63228607177734,38.22609329223633,44.111854553222656,83.27603149414062,83.74089050292969,118.76627349853516,66.27630615234375
2017-05-01,32.56037902832031,102.17513275146484,113.8298110961914,84.09883880615234,38.893272399902344,44.996097564697266,84.58673858642578,83.79360961914062,122.0974349975586,66.5154800415039
2017-06-01,32.31480026245117,103.87016296386719,113.52457427978516,84.78496551513672,38.5767936706543,44.60411834716797,84.35009002685547,84.81248474121094,121.2574691772461,66.76318359375
2017-07-01,33.27476119995117,104.55711364746094,116.08084106445312,86.43666076660156,39.502254486083984,45.743770599365234,85.44144439697266,86.6191177368164,124.67037963867188,68.3550796508789
2017-08-01,33.751060485839844,103.9356460571289,118.61181640625,85.57376098632812,39.493629455566406,46.091976165771484,85.13024139404297,86.21272277832031,126.1346435546875,68.2345962524414
2017-09-01,33.985660552978516,106.37718200683594,119.71265411376953,87.70347595214844,40.32072830200195,46.128639221191406,86.75943756103516,88.18274688720703,127.04378509521484,69.77521514892578
2017-10-01,35.237213134765625,107.76934814453125,124.77115631103516,89.04393005371094,42.08517074584961,47.2320442199707,88.98442840576172,90.41104125976562,131.1262969970703,71.51762390136719
2017-11-01,36.205322265625,111.0550537109375,128.4482421875,92.42755889892578,43.8557243347168,48.68619155883789,92.97484588623047,93.59521484375,134.3038787841797,73.71136474609375
2017-12-01,36.338539123535156,112.2375259399414,129.30267333984375,93.14668273925781,44.41117858886719,48.57573699951172,93.81153106689453,94.564697265625,135.02389526367188,74.24893951416016
2018-01-01,39.06389617919922,117.07706451416016,138.65402221679688,97.67879486083984,46.74868392944336,50.50385284423828,99.04710388183594,99.62451171875,144.72525024414062,77.88226318359375
2018-02-01,38.25955581665039,111.41557312011719,135.04421997070312,93.39041137695312,44.1185188293457,48.35869598388672,95.05378723144531,95.20391082763672,140.49664306640625,74.20436096191406
2018-03-01,37.01129150390625,108.83887481689453,131.0012664794922,92.13999938964844,42.84275817871094,48.01657485961914,93.40840148925781,92.33141326904297,136.66297912597656,72.06402587890625
2018-04-01,37.21010208129883,109.79105377197266,131.7227783203125,92.87159729003906,42.58326721191406,48.333980560302734,92.91243743896484,93.2472152709961,137.37387084960938,72.70626831054688
2018-05-01,38.81627655029297,110.43881225585938,137.49562072753906,94.22027587890625,43.347450256347656,48.81695556640625,94.55516052246094,93.814208984375,143.3991241455078,73.86814880371094
2018-06-01,38.92398452758789,110.73988342285156,138.8181610107422,94.76903533935547,43.294742584228516,49.37421417236328,94.3138656616211,93.4452133178711,144.6543731689453,73.10237884521484
2018-07-01,40.37620162963867,114.33451843261719,142.39959716796875,98.08626556396484,45.63312530517578,51.27903366088867,99.28374481201172,98.37935638427734,148.69288635253906,76.66966247558594
2018-08-01,42.3160400390625,116.6468505859375,150.568115234375,100.00971221923828,46.6780891418457,52.84794235229492,102.06497955322266,100.24444580078125,155.6352081298828,77.52108001708984
2018-09-01,42.53450393676758,116.20631408691406,151.02320861816406,99.72959899902344,46.93490982055664,53.2681884765625,103.31558990478516,100.20823669433594,155.92568969726562,77.23726654052734
2018-10-01,39.2082633972168,110.89737701416016,137.95111083984375,92.91857147216797,44.4669303894043,51.33837127685547,97.17975616455078,95.84815979003906,142.2006072998047,74.40800476074219
2018-11-01,39.752281188964844,114.02789306640625,139.15505981445312,95.34776306152344,45.96492385864258,52.998687744140625,101.2015609741211,98.9832534790039,143.0162811279297,77.05329895019531
2018-12-01,36.26908493041992,102.54938507080078,127.10570526123047,85.72481536865234,41.88113784790039,49.15277099609375,91.82669830322266,89.26811981201172,130.441162109375,69.69829559326172
2019-01-01,39.079254150390625,111.17082977294922,138.77462768554688,94.70389556884766,44.78055953979492,52.24767303466797,98.18630981445312,96.18595886230469,143.0294952392578,74.67214965820312
2019-02-01,40.68039321899414,114.72369384765625,143.7604522705078,98.17616271972656,46.59660339355469,54.24848175048828,102.6836166381836,98.94041442871094,148.30453491210938,77.48758697509766
2019-03-01,41.62464904785156,114.85389709472656,147.39268493652344,98.54413604736328,47.00115966796875,55.49427032470703,103.37188720703125,98.821044921875,152.5167236328125,77.29808807373047
2019-04-01,43.41521072387695,119.45387268066406,154.37548828125,102.55291748046875,48.83917236328125,56.93360900878906,107.72343444824219,102.8482437133789,160.13967895507812,80.1029281616211
2019-05-01,41.13008117675781,111.8050765991211,144.72702026367188,95.4437026977539,45.128257751464844,56.0144157409668,102.73133087158203,96.33991241455078,149.99037170410156,75.04704284667969
2019-06-01,43.434600830078125,118.95828247070312,153.6528778076172,102.1832275390625,48.033626556396484,58.4972038269043,109.08750915527344,102.54315948486328,159.75830078125,79.45729064941406
2019-07-01,44.137386322021484,120.77607727050781,157.98358154296875,103.51577758789062,49.21998977661133,59.787113189697266,111.98500061035156,104.0516586303711,163.84197998046875,80.61048126220703
2019-08-01,43.79911804199219,117.14639282226562,156.6223602294922,100.1353988647461,48.58135986328125,60.739749908447266,112.6413345336914,100.96285247802734,162.90093994140625,78.91602325439453
2019-09-01,43.811279296875,120.6068115234375,156.3285675048828,102.91588592529297,49.97721862792969,61.06364059448242,113.74472045898438,103.84695434570312,162.99896240234375,81.26995086669922
2019-10-01,44.71586227416992,123.09024047851562,161.17503356933594,104.68228912353516,51.10708236694336,61.193721771240234,114.29973602294922,106.43827056884766,167.6065673828125,82.84951782226562
2019-11-01,46.244483947753906,126.88506317138672,168.3333740234375,108.2415542602539,52.55229568481445,62.04535675048828,117.09966278076172,110.09725189208984,174.2974853515625,84.78999328613281
2019-12-01,47.28472900390625,129.15625,172.74227905273438,110.7196273803711,53.316322326660156,62.77259826660156,119.12553405761719,112.15601348876953,178.98406982421875,86.59185791015625
2020-01-01,48.65858840942383,127.47793579101562,177.1127166748047,109.07510375976562,52.806026458740234,64.62797546386719,120.38489532470703,110.17787170410156,185.10089111328125,85.12230682373047
2020-02-01,45.35111999511719,115.633056640625,165.36756896972656,99.40109252929688,47.868804931640625,58.977596282958984,110.3408203125,99.47596740722656,173.13002014160156,76.86722564697266
2020-03-01,40.557010650634766,94.66352844238281,148.31591796875,80.71595001220703,41.74367141723633,51.989219665527344,99.27888488769531,83.97468566894531,154.3804931640625,65.91947937011719
2020-04-01,46.48457336425781,106.14463806152344,170.60781860351562,93.26676177978516,47.49773025512695,57.21346664428711,109.609619140625,93.76367950439453,178.13131713867188,73.21073150634766
2020-05-01,49.25536346435547,109.8506088256836,182.0027618408203,97.7001953125,49.2513427734375,59.683319091796875,113.55595397949219,96.46546173095703,190.70675659179688,75.28477478027344
2020-06-01,51.14856719970703,108.40673065185547,189.5367889404297,98.71881866455078,48.52926254272461,58.72443389892578,113.0638656616211,94.74354553222656,199.6370391845703,73.933349609375
2020-07-01,54.92247772216797,113.43960571289062,204.68032836914062,104.07624053955078,51.53019332885742,61.716678619384766,119.31529235839844,99.05886840820312,215.18431091308594,77.005126953125
2020-08-01,60.10636520385742,118.06902313232422,225.49658203125,108.51827239990234,54.16864013671875,63.40074920654297,126.66761779785156,103.20109558105469,236.9036865234375,79.46134185791016
2020-09-01,57.09684753417969,114.40808868408203,214.58387756347656,105.3133773803711,52.29618835449219,62.03791046142578,124.79560089111328,100.20948791503906,225.3213348388672,76.74908447265625
2020-10-01,55.64871597290039,113.74703216552734,207.77365112304688,105.20506286621094,53.016876220703125,60.320011138916016,122.49385070800781,99.07990264892578,218.9571533203125,76.08088684082031
2020-11-01,60.93916320800781,129.01658630371094,229.24696350097656,120.24552917480469,59.99856185913086,65.20157623291016,134.78805541992188,111.7195816040039,241.66909790039062,85.40685272216797
